def_rank,name,conemass,direct_dependents,title
1,CircleMethod_char,49.4141,48,The additive character $e(\theta)=\exp(2\pi i\theta)$ and $\|\theta\|$
2,StochasticBandit,26.3219,3,
3,MixingCoefficients,24.8016,58,"Strict stationarity; the $\alpha$-, $\rho$-, $\varphi$-mixing coefficients; asymptotic variance"
4,BanditPolicy,22.9885,14,
5,MTT_Arithmetic,21.6433,5,"MTT: cusp forms, modular integrals, periods, and complex critical values"
6,Erdos9796Mission,21.5546,11,"Convex point sets, equidistant neighbours, and unit-distance counts"
7,BookSixth,21.4813,26,Sixth-edition theorem interfaces
8,mm_basic,20.6389,10,"Finite Markov chains: transition matrices, stationarity, irreducibility, period, reversibility"
9,mme_tensor,20.6181,10,
10,frame_2026_symplectic_free_modules_interfaces,20.1786,28,Polynomial symplectic-module and Hamiltonian-module interfaces
11,Freiman_lagrangeSpectrum,19.9198,11,The classical Lagrange spectrum
12,Freiman_cfValue,19.8228,4,Continued fractions and Perron values
13,PartialMonitoringGame,19.5356,32,
14,mme_omega,18.5586,14,
15,Hirsch_model,18.3346,55,"H-polytopes, edges, and combinatorial diameter"
16,Polyhedron,18.3027,27,Polyhedron and standard-form polyhedron
17,PdzPrelim,16.9714,23,Real-algebraic-geometry vocabulary and elimination toolkit
18,diophantine_descent,16.8383,21,Diophantine triples and finite descent degree
19,queueing_continuous_time,16.8011,23,
20,Freiman_symbolicMarkovSpectrum,16.4781,25,The symbolic Lagrange and Markov spectra
21,Erdos9796Counting_Adapter,16.0212,66,Counting transfer definition Erdos9796Counting_Adapter
22,mme_tensor_rank,15.3086,21,
23,erdos180_core1,14.0209,1,"The compactness conjecture, the forbidden family $\mathcal{F}$, and the symplectic generalized quadrangle"
24,excursion_coupling,13.7840,29,"Completed graph, crossings, and paired routes for $F_\sigma = F_\mu - F_\nu$"
25,frame_2026_harmonic_building_interfaces,13.6757,17,Euclidean-building harmonic-map order interfaces
26,erdos180_core2,13.0209,1,"Common-neighbour geometry, non-backtracking four-paths, and the separation constants"
27,BunkbedPercolation,12.8423,12,"Bernoulli bond percolation, the bunkbed graph, and the bunkbed conjecture"
28,GameSetMatch,12.8337,1,"Best-ofs, nested best-ofs, scored sets, and match outcomes"
29,erdos146_core1,12.5836,1,"Degeneracy counterexample: entropy kernel, layered graph and word classification"
30,erdos180_core3,12.5209,1,"Independent triples, the bad-vertex set $U$, and coordinates on the quadrangle"
31,rybin2026_p01_matrix_integral,12.3534,22,Problem 01 definitions — Positive definite matrix integral inequality
32,erdos180_core4,12.1875,63,"Normalising a disjoint line pair, characteristic-two avoidance, and the explicit constants"
33,ActiveConstraints,12.1380,14,Active constraints at a point of a polyhedron
34,CannonFloydParry,12.0910,18,Thompson's group $F$ on the unit interval and on the line
35,MagicSquares,11.8429,22,Magic squares: core definitions and counting functions
36,GameSetMatchInternal,11.8337,36,"Score contributions, win-loss advantages, hypergeometric weights, and the tie integral"
37,eulerMascheroni_gompertz,11.7342,6,The Euler–Gompertz constant $\delta$
38,erdos146_core2,11.5836,36,"Degeneracy counterexample: child arrays, Hamming-ball host and the sampling thresholds"
39,erdos183_core,11.2728,21,Multicolour triangle Ramsey numbers and the palette-block construction
40,Erdos9796Counting_Foundation,11.2712,32,Counting transfer definition Erdos9796Counting_Foundation
41,matrix_completion_basic,11.2392,4,
42,MSKleene_Core,11.0944,3,Many-sorted algebra: core layer
43,mm_mixing,10.7722,16,"Total variation distance, mixing time, and couplings"
44,syracuseStep,10.7076,21,Accelerated (Syracuse) map $T(n) = (3n+1)/2^{v_2(3n+1)}$
45,CirclePackingConstants,10.5769,13,Equal-circle packing constants in the unit square
46,MTT_Cohomology,10.1838,23,Compactly supported group cohomology and integral modular-symbol evaluations
47,HairerSPDE_CameronMartin,9.2261,15,The Cameron–Martin norm and space of a Gaussian measure
48,FiniteReflectionPositivityMethodsI,9.1000,10,Finite split reflection positivity and infrared-spectrum interface
49,sipser_gacs_lautemann,9.0534,23,Complexity classes for the Sipser–Gács–Lautemann theorem
50,mme_strassen_preorder,8.9935,5,
51,collatzStepMap,8.8951,21,Collatz step map $C(n)$
52,BrinSquier,8.8168,13,"Supports, piecewise-linear homeomorphisms of the line, and slopes at the ends"
53,BasicSolution,8.4876,23,Basic solution and basic feasible solution
54,mm_path,8.4544,5,"Trajectories, return times, and hitting times of a finite chain"
55,quantum_parallel_repetition_game,8.3076,34,Finite two-player entangled games and parallel repetition
56,matrix_completion_svd,8.2392,2,
57,mme_omega_strassen,8.2269,17,
58,MSKleene_Term,8.0944,9,The free many-sorted algebra $\mathbf{T}_\Sigma(X)$
59,MCNoSpuriousMinModel,7.8409,11,"Model layer: objective, optimality conditions, auxiliary function $K$, and the good-sample predicate"
60,matrix_completion_bernoulli,7.7392,7,
61,Freiman_prefixEval,7.6971,5,Finite continued-fraction prefix acting on a tail
62,ErdosStraus242,7.6583,13,The distinct Erdős–Straus property
63,BertsekasCTModel,7.5762,10,"The continuous-time optimal control problem: admissibility, cost, Hamiltonian"
64,LeopoldtDefect,7.4676,13,The Leopoldt defect $\mathcal{D}_L(\mathbb{K})$ of a number field at $p$
65,KerrBL_CoordGeometry,7.4665,1,Generic coordinate Christoffel symbols and Ricci tensor on $\mathbb{R}^4$
66,CappedBaseStock_Model,7.3548,8,"Lost-sales dynamics, admissible policies, and the two-variable cost certificate"
67,TotalVariationDist,7.3303,5,Total variation distance $\|\mu-\nu\| = \sup_A |\mu(A)-\nu(A)|$
68,Rectangle_defs,7.1442,22,Axis-parallel rectangles in $\mathbb{C}$: the rectangle border determined by two corners
69,mme_tau_value,6.9841,11,Unrestricted Coppersmith--Winograd tau-value witnesses
70,Monotonicity_Theorem_Framework2,6.6186,13,O-minimal structure framework
71,FiniteMagmaE677,6.5540,10,E677 and E255 for arbitrary binary operations
72,ShiShallow_Circuit,6.5146,20,"Shallow quantum circuits: gates, layers and acceptance probability"
73,KerrBL_Kerr_Metric,6.4665,8,"Boyer-Lindquist Kerr metric, closed-form inverse and regular coordinate domain"
74,TaoFivePrimes_RepresentationCount,6.4573,4,Tao's weighted three-prime representation count (K = 1000)
75,mme_flattening,6.4019,3,
76,markov_entanglement,6.3909,4,"Markov entanglement: two-agent MDPs, agent-wise TV distance, entanglement measure"
77,monopoly_pricing,6.3457,8,
78,mme_tensor_type_grading,6.2045,7,
79,GaussianBandit,6.1724,45,
80,gilbreath_triangle,6.1111,9,The Gilbreath triangle of iterated absolute differences
81,DiazModulus,6.0943,22,"Logarithms of algebraic numbers, and the conjectures around Diaz's modulus question"
82,Freiman_lowerInitial,6.0253,1,Freiman lower construction: lowerInitial
83,mme_tensor_quotient,5.9102,8,
84,eulerMascheroni_sondow,5.8383,6,"Sondow harmonic sums, logarithmic forms and double integrals"
85,GittinsIndex,5.8247,1,
86,OpenGA_AreaEnergyDensities,5.7916,4,Area and energy densities of a vector pair
87,ReservoirESN,5.7083,7,"Reservoir systems: solutions, uniform bounds, contraction, weighting sequences, fading memory"
88,mme_CW_coupled_value,5.5620,26,Coupled Coppersmith--Winograd tensor-square constituent
89,MarkovIterKernel,5.4970,7,The $n$-step transition kernel $P^n$
90,Rudin_ch10_forms,5.4762,7,"Surfaces, differential forms, chains and the boundary operator"
91,banditRegret,5.4598,24,
92,mm_coupling,5.3671,3,"Markovian couplings, the torus, colorings, and the hardcore model"
93,BSD,5.3667,10,The Birch and Swinnerton-Dyer conjecture: the rank of $E(\mathbb{Q})$ and the L-function of an elliptic curve over $\mathbb{Q}$
94,FiniteGreenVariationalEnergyV1,5.3111,9,Finite Green variational-energy interface
95,Vertex,5.2876,16,Vertex and extreme point of a polyhedron
96,frame_2026_moment_angle_interfaces,5.2839,12,Moment-angle complexes and total integral homology
97,Freiman_gapCertificate,5.2330,1,Finite four-digit partition certificate semantics
98,Freiman_continuants,5.1766,4,Continuants with the report’s digit-count convention
99,ResidueCalcOnRectangles_defs,5.1442,26,"Contour integrals over rectangles in $\mathbb{C}$: horizontal/vertical integrals, $\mathrm{RectangleIntegral}$, $\mathrm{VerticalIntegral}$, and border integrability"
100,Freiman_lowerSelection,5.0303,1,Freiman lower construction: lowerSelection
101,KServer_model,5.0061,7,"The $k$-server model: configurations, online algorithms, offline cost, competitiveness"
102,BunkbedWZRefined,4.9987,2,The refined pair state space and the half-reflection involution
103,ConvexOptimization_IsBacktrackingStep,4.9659,5,Backtracking line search step
104,Vino_ramanujan,4.9475,17,Ramanujan sums and the singular series of the three primes problem
105,MellinCalculus_defs,4.8980,17,"Mellin calculus: multiplicative convolution, the delta-spike approximate identity, and the smoothed indicator $\mathrm{Smooth1}$"
106,MarkovChainKernel,4.8247,1,Kernel of full Markov-chain trajectories indexed by the initial state
107,CollapsibleCubics_basic,4.6762,7,Split polynomials and collapsible numbers
108,opg500_weighted_cycle_models,4.6667,4,"Positive edge weights, geodesic cycles, and peripheral cycles"
109,Thurston23_bundle,4.6461,6,"Hyperbolic 3-space, its volume and distance, Kleinian actions, and the set of volumes"
110,PositiveDefinite,4.6290,8,Positive-definite real function
111,ZengPryadko2019,4.5833,4,Based binary chain complexes and homological distance
112,matrix_completion_tangent,4.5462,23,
113,Freiman_lowerCertificates,4.5303,23,Freiman lower construction: lowerCertificates
