unlock_rank,name,unlock_open_union,unlock_open_guaranteed,published_open_rank,published_conemass_union,title
1,RybinAI2026.P01.crossIntegral_single_slot_normalized_sum_le_one,3.5429,3.5429,9,1.1867,Single-slot normalised mixed-integral bound $m_A/I_A+m_B/I_B\le 1$
2,LeanEval.Geometry.SpaceGroupsProblem.space_groups_master_classification,3.2500,3.2500,2,1.7000,Master enumeration of the space groups of $\mathbb R^3$: the list of $230$ with its affine and Sohncke bookkeeping
3,Hirsch.common_face_diameter_of_dim_ge_six,2.8290,2.8290,172,0.2171,Polynomial diameter of common faces of dimension at least six
4,Richstein2001.segmented_sieve_coverage,2.5854,2.3076,1,1.7327,Finite sieve coverage of the Richstein range in blocks of one million
5,RybinAI2026.P01.crossIntegral_normalized_sum_le_one,2.5429,2.5429,19,0.9867,Normalised mixed-integral bound $K_A/I_A+K_B/I_B\le 1$
6,mme_more_asymmetry_cofinal_forward_fields_stage_rate_certificate_v3,2.4659,2.0833,93,0.3937,More Asymmetry cofinal stage/rate certificate with forward assembly fields (parenthesized)
7,WeakGoldbach.prime_in_4e18_window_from_4e18_to_8875e30,2.4444,2.1667,3,1.5629,"A prime in $(x,\, x+4\cdot 10^{18})$ for $4\cdot 10^{18} \le x \le T - 4\cdot 10^{18}$"
8,WeakGoldbach.symmetric_pair_main_term_above_2e18,2.3687,2.1909,4,1.5391,Hardy–Littlewood main-term bound for symmetric prime pairs
9,DiazModulus.norm_transcendental_of_generic_conj_pair,2.3659,2.4345,55,0.5359,Transcendence of the modulus of a generic conjugate pair of logarithms
10,ErdosStraus242.hard_core_840_after_mod11_mod19_mod23_mod31_mod43,2.2833,2.2833,27,0.8250,"Remaining modulo-840 prime cases after the mod-11, mod-19, mod-23, mod-31 and mod-43 sieves"
11,Freiman.lower_geometry_cover,2.2833,2.2833,190,0.1970,Freiman lower construction: geometry cover
12,KServer.workFnU_growth_sharp_finite_subspaces,2.2833,2.2833,85,0.4394,Sharp work-function growth uniformly over finite subspaces (open)
13,zeta_ne_zero_of_strip_of_six_lt_im,2.2833,2.2833,15,1.0519,No zeros of $\zeta$ with $\tfrac12<\operatorname{Re} s<1$ in the upper strip $\operatorname{Im} s>6$
14,syracuse_descent_residual_fifteen_mod16_mod4096,2.1568,1.8854,35,0.6923,Residual Syracuse descent inside $n \equiv 15 \pmod{16}$ modulo $4096$
