open_rank,name,conemass_union,conemass_guaranteed,direct_dependents,transitive_dependents,chain_depth,title
1,Richstein2001.segmented_sieve_coverage,1.7327,1.5031,1,13,9,Finite sieve coverage of the Richstein range in blocks of one million
2,LeanEval.Geometry.SpaceGroupsProblem.space_groups_master_classification,1.7000,1.7000,3,4,2,Master enumeration of the space groups of $\mathbb R^3$: the list of $230$ with its affine and Sohncke bookkeeping
3,WeakGoldbach.prime_in_4e18_window_from_4e18_to_8875e30,1.5629,1.3333,1,9,7,"A prime in $(x,\, x+4\cdot 10^{18})$ for $4\cdot 10^{18} \le x \le T - 4\cdot 10^{18}$"
4,WeakGoldbach.symmetric_pair_main_term_above_2e18,1.5391,1.3864,1,11,9,Hardy–Littlewood main-term bound for symmetric prime pairs
5,hardy_littlewood_conjecture_A,1.5000,1.5000,1,2,2,
6,WeakGoldbach.verified_range_sieve_coverage,1.3994,1.1698,1,12,9,"Finite sieve coverage of the binary Goldbach range $(4\cdot 10^{14},\,4\cdot 10^{18}]$ in blocks of one million"
7,Hadamard.exists_orthogonal_pm_one,1.3333,1.3333,1,2,2,"Hadamard's conjecture for odd multipliers, orthogonality form: $MM^{\mathsf T}=4kI$"
8,Richstein2001.even_goldbach_up_to_4e14,1.2327,1.0031,2,12,8,Richstein finite verification of even Goldbach up to $4\cdot10^{14}$
9,RybinAI2026.P01.crossIntegral_single_slot_normalized_sum_le_one,1.1867,1.1867,1,10,7,Single-slot normalised mixed-integral bound $m_A/I_A+m_B/I_B\le 1$
10,RybinAI2026.P16.base_four_partial_hadamards,1.1005,1.0417,1,5,5,Four-family base construction for the dimension-six MUB frontier
11,RybinAI2026.P16.extend_four_to_five_partial_hadamards,1.1005,1.0417,1,5,5,Four-to-five extension step for the dimension-six MUB frontier
12,OddPerfectNumber.k_one_deficiency_impossible,1.0739,1.0739,1,5,5,The k = 1 deficiency packaging is impossible for m >= 2
13,WeakGoldbach.prime_in_4e18_window_to_8875e30,1.0629,0.8333,2,8,6,Prime gaps below $8.875\times 10^{30}$ are smaller than $4\cdot 10^{18}$
14,flt_s2_gamma0_2_empty,1.0553,1.2000,1,15,13,
15,zeta_ne_zero_of_strip_of_six_lt_im,1.0519,1.0519,1,5,5,No zeros of $\zeta$ with $\tfrac12<\operatorname{Re} s<1$ in the upper strip $\operatorname{Im} s>6$
